rank,seller_id,title,slug,products_seen
143,80648,Миленд,miland,89
144,22424,Фантазёр - детские товары и игрушки,fantazer,89
145,67511,Magical Mirai,magicalmirai,88
146,80199,Play Okay,playokay,87
147,56974,Prince&Princess,princeprincess,86
148,6271,PRESENT,present,86
149,28000,ДИСКАУНТЕР ваших любимых товаров.,marketspace,86
150,11946,izi shop,izishop,86
151,66537,Лайфхак-SHOP01,00001,86
152,79641,BubblePops,bubblepops,84
153,80226,Экомыло3д,eko3d,82
154,76950,DLED Store,dled-store,82
155,76575,МЕГАОПТОВИК,megaoptovik,82
156,71867,GoldenMix,gold137,81
157,32911,Hasbro Gaming,hasbrogaming,80
158,70193,Magikhobby,magikhobby,80
159,55902,Детский квартал 24,dc24,79
160,35067,Тигрёнок,tigrenok,79
161,7149,"""Умнов""- магазин развивающих игрушек от 0 -99 лет",umnovtoys,78
162,63607,УМка игрушки,umkaigra,78
163,11927,"""Тутси"" фабрика игрушек",tutci,78
164,22206,Томми,tommishop116,78
165,46664,Malishka Milashka,milashka10,78
166,25639,TRENDY_SHOP,trendyshops,77
167,11692,Монтессори метод,mmetod,76
168,15267,Kinderie,kinderie,76
169,43797,For you and not only,73-for-you,76
170,61980,Конструктор,konstruktor,76
171,80721,Товары для счастья,tovaridlyasch,76
172,18296,Kidfan,kidfan,74
173,5215,Levitress,levi,74
174,74187,MULTILAND,multiland1,74
175,8510,КАНЦЕЛЯРКА,kanzburo1,73
176,16255,Магазин для детей,igrushkidetyam,72
177,19740,Arisha,arisha,72
178,86911,Мир в 3Д,mirv3d,72
179,75807,MiniShop02,022015,71
180,7815,Магникон,mk-2020,71
181,17617,Trendy Toys,trendytoys180318,70
182,60379,КОЛОБОК,colobok,70
183,9574,малINка,in,70
184,41201,Happy Elephant,happyelephant,70
185,28935,КИНДЕР ПЛЮС,kinderplus,69
186,40701,Golden Kid's,goldapple,68
187,35174,Aks-store,aks-store,68
188,36781,Boost,boostshop,68
189,8790,Arma.toys,armatoys,68
190,21526,SoDaRu,sodaru,68
191,46716,Грибная Корова,gribnoyakorova,68
192,78073,ТМ Буратино,buratino,67
193,5721,Пекин74,pekin74,66
194,77393,ТМ «Мой питомец»,moy-pitomec,66
195,76426,Alatoys,alatoys1,64
196,52760,Stellar,stellarr,64
197,29966,RAIN,rainn,64
198,25602,Cariro,cariro,64
199,81127,Lisciani,lisciani,64
200,54565,twentyone,twentyone,64
201,76438,SR Store,srstore,63
202,23009,Cavy,cavy,63
203,81513,Brawl Stars,brawlstars,62
204,50289,СOLOR Si,color-si,60
205,21564,Чебурашка,cheburashka,60
206,85539,Крутой Замес,krutoyzames,59
207,74146,Домашние удобства,homecomforts,58
208,74426,GULLIVER TOYS,gullivertoys,57
209,42599,BabyZvonn,babyz,57
210,67227,LEONSHOP,leo2020,57
