group,title,sku,seller_sku_id,product_id,sale_price,total_stock,units_sold_window,priority_score,fill_cogs,fill_source,fill_comment
Конструкторы,Конструктор робот «Полицейский транспорт» 6 видов,WONDERS-7045863-ГОЛУБ,,2336930,399.0,3,0,67.75,,,
Конструкторы,Конструктор Динозавр. Робот-трансформер 'Вольтрон' 6 видов,WONDERS-ДИНОБОТ-ЗЕЛЕН,,2334559,379.0,3,0,67.75,,,
Конструкторы,Конструктор робот «Полицейский транспорт» 6 видов,WONDERS-7045863-ЛАЗУР,,2336930,399.0,2,0,67.75,,,
Конструкторы,Конструктор Стройка: экскаватор кран,WONDERS-ВВ4810-ЖЕЛТ,,683697,468.0,1,0,67.75,,,
Конструкторы,Конструктор Динозавр. Робот-трансформер 'Вольтрон' 6 видов,WONDERS-ДИНОБОТ-ГОЛУБ,,2334559,379.0,1,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-1,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-2,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-3,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-4,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-5,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Монстры,WONDERS-МОНСТРЫ-6,,50191,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-1,,50192,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-2,,50192,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-3,,50192,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-4,,50192,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-5,,50192,190.0,0,0,67.75,,,
Конструкторы,Яйцо с конструктором Динозавры,WONDERS-ДИНОЯЙЦ-6,,50192,190.0,0,0,67.75,,,
Конструкторы,Конструктор - каталка Паровозик 7 деталей,WONDERS-ККП02,,309735,380.0,0,0,67.75,,,
Конструкторы,Конструктор Городок 23 детали окрашенный,WONDERS-К1601,,367276,730.0,0,0,67.75,,,
Конструкторы,Конструктор Городок 27 деталей наполовину окрашенный,WONDERS-К2110,,494267,990.0,0,0,67.75,,,
Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,WONDERS-ВВ2227-ЖЕЛТ,,672993,199.0,0,0,67.75,,,
Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,WONDERS-ВВ2227-ЗЕЛЕН,,672993,199.0,0,0,67.75,,,
Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,WONDERS-ВВ2227-КРАСН,,672993,199.0,0,0,67.75,,,
Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,WONDERS-ВВ2227-СИНИЙ,,672993,199.0,0,0,67.75,,,
Конструкторы,Конструктор Стройка: экскаватор кран,WONDERS-ВВ4810-СЕРЫЙ,,683697,520.0,0,0,67.75,,,
Конструкторы,Конструктор Стройка: экскаватор кран,WONDERS-ВВ4810-ЧЕРН,,683697,520.0,0,0,67.75,,,
Конструкторы,Конструктор 'Розовая мечта' - Фабрика звезд 430 деталей,WONDERS-Г44952,,683730,1150.0,0,0,67.75,,,
Конструкторы,Конструктор Капитан AUSINI 2 в 1 132 детали,WONDERS-Г79545,,684633,380.0,0,0,67.75,,,
Конструкторы,Конструктор Автомобиль AUSINI 3 варианта сборки 143 детали,WONDERS-Г79562,,684653,510.0,0,0,67.75,,,
Конструкторы,Конструктор Капитан AUSINI 2 в 1 244 детали,WONDERS-Г79547,,684790,1050.0,0,0,67.75,,,
Конструкторы,Конструктор Капитан AUSINI 2 в 1 201 деталь,WONDERS-Г79546,,684813,790.0,0,0,67.75,,,
Конструкторы,Конструкторы Sluban Строительная техника,WONDERS-М38В059-Г87710A,,672980,140.0,0,0,67.75,,,
Конструкторы,Конструкторы Sluban Строительная техника,WONDERS-М38В059-Г87710B,,672980,140.0,0,0,67.75,,,
Конструкторы,Конструкторы Sluban Строительная техника,WONDERS-М38В059-Г87710C,,672980,140.0,0,0,67.75,,,
Конструкторы,Конструкторы Sluban Строительная техника,WONDERS-М38В059-Г87710D,,672980,140.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban,WONDERS-Г87713-БЕЖЕВ,,868993,175.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban,WONDERS-Г87713-ЖЕЛТ,,868993,175.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban,WONDERS-Г87713-КРАСН,,868993,175.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban,WONDERS-Г87713-СЕРЫЙ,,868993,175.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-БЕЖЕВ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ЖЕЛТ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ЗЕЛЕН,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ЗОЛОТ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-КОРИЧН,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-КРАСН,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ОРАНЖ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-СЕРЫЙ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-СИНИЙ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ТЕМНСИН,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ХАКИ,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор Sluban Builder mini,WONDERS-Г87709-ЧЕРН,,869182,85.0,0,0,67.75,,,
Конструкторы,Конструктор  'Железная дорога' Транспорт Поезд,WONDERS-ВВ4239-СИНИЙ,,1965188,890.0,0,0,67.75,,,
Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,WONDERS-ВВ2227-АЛЫЙ,,672993,199.0,0,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-БЕЛЫЙ,,2327391,449.0,0,0,67.75,,,
Конструкторы,Конструктор новогодний 'Дед мороз' 'Снеговик' 'Ёлочка',WONDERS-НГ-ЗЕЛЕН,,2327391,499.0,0,0,67.75,,,
