rank,product_id,title,sold,price,active,rating
133,1170405,"Книга для ванны для купания ""Животные"", 12 х 12 см",59,239.0,0,5.0
134,417029,"Счетный материал ""Палочки для счета"" 36 палочек",59,175.0,0,5.0
135,2793423,Карнавальный ободок Хэллоуин,57,199.0,1,5.0
136,1822597,Доски для выжигания с рисунком,57,199.0,6,5.0
137,915697,Деревянная игрушка-шнуровка Ёжик,57,355.0,0,5.0
138,903783,"Набор для вышивания с пяльцами. Вышивание крестиком. Вышивка ""Новогодняя Ёлочка""",57,299.0,13,5.0
139,323,Деревянная игрушка-стучалка,56,1350.0,0,4.6
140,1813596,"Игра детская - бродилка / ходилка Алфавит, Азбука русские буквы",55,413.1,17,5.0
141,258136,"Книга для купания и игр в ванной ""Кто какого цвета?"", Обитатели моря, 12х12 см",55,165.0,0,5.0
142,2483494,"Настольная игра Игра - ходилка / бродилка, Смешарики, Фиксики, Синий трактор",54,159.0,26,3.0
143,2377502,"Набор цветных развивающих кубиков Смешарики. Конструктор детский, 20 штук",54,390.0,26,5.0
144,2670921,"Книжка-тренажёр для рисования, детская ""Я учусь рисовать"", для мальчиков и девочек",53,249.0,51,5.0
145,1831904,"Набор для рисования ""Флюид АРТ"" Жидкий акрил для творчества",53,799.0,0,5.0
146,395,"Игрушка деревянная 3 в 1: машинка, сортер, ксилофон",53,1890.0,0,4.8
147,2559085,Набор для бисероплетения Украшение из бисера,52,359.0,2,5.0
148,2529534,"Мыльные пузыри, Бутылочка , раствор, 500 мл Цвет микс",52,249.0,24,4.2
149,1009868,"Новогодний набор: Адвент - Календарь, письмо Деду Морозу, Топ 20 новогодних дел",52,199.0,0,5.0
150,39381,"Книга для купания Bondibon ""Кто что ест"",  12х12 см",52,245.0,0,5.0
151,2330951,"Мягкая игрушка Енот, Мишка",51,599.0,9,4.7
152,1961121,"Пазлы для малышей ""Транспорт"", ""Домашние животные"", 6 картинок в наборе",51,289.0,0,5.0
153,965776,"Настольная детская игра ""Денежка. Играем в магазин. Покупаем продукты""",51,465.0,0,5.0
154,309702,Каталка Лошадка развивающая деревянная игрушка,50,375.0,0,5.0
155,939815,Настольная игра МЕМО,49,369.0,12,5.0
156,38753,"Учимся рисовать, тренажер по рисованию, компактные развивающие игры в дорогу Bondibon",49,429.14,23,5.0
157,13326,"Машинка-конструктор и Стучалка 2в1, деревянная",49,650.0,0,4.7
158,2334559,"Конструктор Динозавр. Робот-трансформер ""Вольтрон"", 6 видов",47,329.0,17,5.0
159,1010285,"Кубики детские с картинкой, 6 кубиков. Холодное сердце Эльза, Олаф Disney",47,230.0,4,5.0
160,901537,"Соображай-ка. Развивающая игра Пиши-Стирай, 36 двусторонних карточек",47,445.5,8,5.0
161,39726,"Книга для купания, Bondibon,  ""Где живет?"", 15х15 см",47,195.0,0,4.0
162,2743018,"Развивающая Книга с наклейками Буквы и слова, Внимание, Буквы и Счёт",46,139.0,41,5.0
163,2208159,"Настольная игра Дубль Дуббль (Dobble) Дабл Микс / Животные, на развитие внимания и реакцию",46,319.0,17,5.0
164,938702,Магнитная игра Мозаика с заданиями (16 карточек),46,499.0,0,5.0
165,367356,"Пазлы детские, деревянные, Коржик ""Три кота"", развивающая деревянная игрушка",46,299.0,0,5.0
