rank,product_id,group,title,sold,price,active,rating
105,438367,Деревянные игрушки и шнуровки,"Деревянная игрушка - шнуровка ""Рыбка""",76,155.0,0,5.0
106,899236,Пазлы,Пазлы детские контурные Транспорт / Машинки. Первые пазлы малыша,75,315.0,25,5.0
107,2376205,"Животные, фигурки и наборы",Оригами для самых маленьких Домашние зверята,73,199.0,17,5.0
108,1008660,Настольные и карточные игры,"Настольная игра для детей Мафия детская ""Школа Волшебства""",73,299.0,0,5.0
109,977232,Настольные и карточные игры,"Детская настольная игра ""Тарантинки. Кто я?"" с ободком",73,499.0,0,5.0
110,1031683,Творчество и рукоделие,"Аппликация Новый год. Дед мороз, Снегурочка, Ёлочка, Снеговик",72,299.0,67,5.0
111,58557,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Как называется?"" ( знакомимся с цветами) Bondibon",71,245.0,0,5.0
112,1813755,Магнитные игры и одевашки,Магниты детские Времена года. Развивающая магнитная игра для детей,70,355.0,22,5.0
113,672993,Конструкторы,Конструктор 3D модель для раскрашивания с инерционным механизмом Bondibon,70,199.0,0,1.0
114,417024,Прочее,"Счетный материал ""Радужный счет"" 70 шт",69,245.0,0,4.8
115,1965084,Прочее,"Гравюра цветная,скретч картинки Набор для рисования",68,129.0,130,5.0
116,940002,Настольные и карточные игры,Мемо. Детская настольная игра на развитие памяти,67,319.0,4,5.0
117,416635,Настольные и карточные игры,"Лото ""Азбука-цифры"", ""Алатойс""",67,545.09,12,5.0
118,2487480,Книги и обучающие материалы,Книга-история с наклейками Эльза и Анна. Книжка Холодное сердце. Идеальный летний день,66,219.0,0,5.0
119,156489,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Что любит?"", Bondibon",65,245.0,0,4.9
120,2296836,Настольные и карточные игры,"Набор для рисования на воде ""Эбру"", большой лоток, 8 цветов",64,1190.0,4,5.0
121,1320552,Творчество и рукоделие,"Доски деревянные для выжигания по дереву Динозавры, Драконы, 2шт в наборе. Набор досок",64,279.0,11,5.0
122,1320053,Творчество и рукоделие,"Доски для выжигания Вертолет и Гоночный автомобиль, Трансформер и космический корабль",64,210.0,36,4.5
123,1832626,"Кубики, мозаика и пирамидки","Мозаика детская шестигранная пластмассовая Сова, Машина, 85, 100 и 120 элементов",63,382.5,18,5.0
124,9927,"Животные, фигурки и наборы",Гоночный трек с 4 машинками,63,1750.0,0,4.8
125,817008,Деревянные игрушки и шнуровки,"Сортер для малышей, деревянный, Монтессори, рамка-вкладыш ""Животные"", 18 деталей",62,750.0,0,4.8
126,81516,Прочее,Логические цилиндры Монтессори,62,590.0,0,5.0
127,2974163,Прочее,"Карнавальный набор Снежинка. Новогодний ободок, пумпоны",61,329.0,11,0.0
128,2336479,Настольные и карточные игры,"Настольная игра на баланс Стульчики / На 4 ногах, Башня из стульчиков. Новогодняя версия",61,289.0,1,5.0
129,1266686,Творчество и рукоделие,"Доски для выжигания, с рисунком",60,349.0,0,5.0
130,1034797,Настольные и карточные игры,Набор букв для игры Словодел 125 фишек. Составь слово,60,225.0,0,5.0
131,1008534,Магнитные игры и одевашки,Русский алфавит. Азбука. Магнитная игра Удивительные буквы (72 элемента),60,199.0,0,5.0
132,2529546,Прочее,"Мыльные пузыри Большие Лунтик, Барбоскины, 200 мл",59,269.0,24,5.0
133,1170405,Книги и обучающие материалы,"Книга для ванны для купания ""Животные"", 12 х 12 см",59,239.0,0,5.0
134,417029,Прочее,"Счетный материал ""Палочки для счета"" 36 палочек",59,175.0,0,5.0
135,2793423,Прочее,Карнавальный ободок Хэллоуин,57,199.0,1,5.0
136,1822597,Творчество и рукоделие,Доски для выжигания с рисунком,57,199.0,6,5.0
137,915697,Деревянные игрушки и шнуровки,Деревянная игрушка-шнуровка Ёжик,57,355.0,0,5.0
138,903783,Творчество и рукоделие,"Набор для вышивания с пяльцами. Вышивание крестиком. Вышивка ""Новогодняя Ёлочка""",57,299.0,13,5.0
139,323,Деревянные игрушки и шнуровки,Деревянная игрушка-стучалка,56,1350.0,0,4.6
140,1813596,Настольные и карточные игры,"Игра детская - бродилка / ходилка Алфавит, Азбука русские буквы",55,413.1,17,5.0
141,258136,Книги и обучающие материалы,"Книга для купания и игр в ванной ""Кто какого цвета?"", Обитатели моря, 12х12 см",55,165.0,0,5.0
142,2483494,Настольные и карточные игры,"Настольная игра Игра - ходилка / бродилка, Смешарики, Фиксики, Синий трактор",54,159.0,26,3.0
143,2377502,"Кубики, мозаика и пирамидки","Набор цветных развивающих кубиков Смешарики. Конструктор детский, 20 штук",54,390.0,26,5.0
144,2670921,Книги и обучающие материалы,"Книжка-тренажёр для рисования, детская ""Я учусь рисовать"", для мальчиков и девочек",53,249.0,51,5.0
145,1831904,Прочее,"Набор для рисования ""Флюид АРТ"" Жидкий акрил для творчества",53,799.0,0,5.0
146,395,Деревянные игрушки и шнуровки,"Игрушка деревянная 3 в 1: машинка, сортер, ксилофон",53,1890.0,0,4.8
147,2559085,Прочее,Набор для бисероплетения Украшение из бисера,52,359.0,2,5.0
148,2529534,Прочее,"Мыльные пузыри, Бутылочка , раствор, 500 мл Цвет микс",52,249.0,24,4.2
149,1009868,Прочее,"Новогодний набор: Адвент - Календарь, письмо Деду Морозу, Топ 20 новогодних дел",52,199.0,0,5.0
150,39381,Книги и обучающие материалы,"Книга для купания Bondibon ""Кто что ест"",  12х12 см",52,245.0,0,5.0
151,2330951,Мягкие игрушки и театр,"Мягкая игрушка Енот, Мишка",51,599.0,9,4.7
152,1961121,Пазлы,"Пазлы для малышей ""Транспорт"", ""Домашние животные"", 6 картинок в наборе",51,289.0,0,5.0
153,965776,Настольные и карточные игры,"Настольная детская игра ""Денежка. Играем в магазин. Покупаем продукты""",51,465.0,0,5.0
154,309702,Деревянные игрушки и шнуровки,Каталка Лошадка развивающая деревянная игрушка,50,375.0,0,5.0
155,939815,Настольные и карточные игры,Настольная игра МЕМО,49,369.0,12,5.0
156,38753,Прочее,"Учимся рисовать, тренажер по рисованию, компактные развивающие игры в дорогу Bondibon",49,429.14,23,5.0
157,13326,Деревянные игрушки и шнуровки,"Машинка-конструктор и Стучалка 2в1, деревянная",49,650.0,0,4.7
158,2334559,Конструкторы,"Конструктор Динозавр. Робот-трансформер ""Вольтрон"", 6 видов",47,329.0,17,5.0
159,1010285,"Кубики, мозаика и пирамидки","Кубики детские с картинкой, 6 кубиков. Холодное сердце Эльза, Олаф Disney",47,230.0,4,5.0
160,901537,Книги и обучающие материалы,"Соображай-ка. Развивающая игра Пиши-Стирай, 36 двусторонних карточек",47,445.5,8,5.0
161,39726,Книги и обучающие материалы,"Книга для купания, Bondibon,  ""Где живет?"", 15х15 см",47,195.0,0,4.0
162,2743018,Творчество и рукоделие,"Развивающая Книга с наклейками Буквы и слова, Внимание, Буквы и Счёт",46,139.0,41,5.0
163,2208159,Настольные и карточные игры,"Настольная игра Дубль Дуббль (Dobble) Дабл Микс / Животные, на развитие внимания и реакцию",46,319.0,17,5.0
164,938702,Магнитные игры и одевашки,Магнитная игра Мозаика с заданиями (16 карточек),46,499.0,0,5.0
165,367356,Пазлы,"Пазлы детские, деревянные, Коржик ""Три кота"", развивающая деревянная игрушка",46,299.0,0,5.0
166,2747015,Творчество и рукоделие,"Наклейки детские развивающие ""Забавные страшилки"", ""Милые мордашки"", Монстрики",45,199.0,86,5.0
167,1032203,Творчество и рукоделие,"Аппликация детская, Новогодняя с пайетками. Картина в рамке Дед Мороз, Снеговик",45,290.0,25,5.0
168,534941,Творчество и рукоделие,"Художник светом / Рисуй светом Набор для рисования в темноте с трафаретами, 25х18 см",45,499.0,0,0.0
169,452213,Пазлы,"Деревянная игрушка сортер - пазл ""Фигуры""",45,390.0,0,5.0
170,930838,Пазлы,"Пазлы деревянные детские Лесные жители, Зоопарк, Транспорт, Домашние животные. Сортер",44,299.0,13,5.0
171,799138,Настольные и карточные игры,"Страны мира, Игра-викторина серия ""Умная Сова"" Bondibon",44,899.0,0,5.0
172,367351,Пазлы,"Пазлы деревянные детские Компот ""Три кота""",44,329.0,1,5.0
173,367333,Пазлы,"Пазлы детские деревянные герои мультфильма ""Три кота"" Коржик, Карамелька и Компот",44,349.0,0,5.0
174,2760126,"Животные, фигурки и наборы","Раскраска многоразовая Пиши-стирай. Животные на ферме, Пони, Транспорт. Маркеры в комплекте",43,249.0,37,5.0
175,901491,Книги и обучающие материалы,Веселые лабиринты. 72 лабиринта. Развивающая игра Пиши-Стирай,43,495.0,14,5.0
176,309735,Конструкторы,Конструктор - каталка Паровозик 7 деталей,43,380.0,0,4.7
177,39098,Прочее,"Набор игрушек-пищалок для купания, BONDIBON, Подводный мир, 8 шт/упак",43,385.0,0,5.0
178,13252,Деревянные игрушки и шнуровки,Детская деревянная игрушка Мозаика Геоанимо,43,891.0,34,5.0
179,2334521,Конструкторы,"Конструктор Динозавр со звуковыми эффектами, Серия Дино мир",42,690.0,16,5.0
180,2222984,Прочее,"Антистресс игрушка, браслет мялка-тянучка, светится",42,259.0,5,5.0
181,2203256,"Кубики, мозаика и пирамидки","Кубики детские пластмассовые  с картинками ""Лесные / домашние животные""",42,199.0,0,5.0
182,447022,Деревянные игрушки и шнуровки,"Деревянная игрушка Шнуровка ""Корова""",42,175.0,0,5.0
183,28819,Прочее,"Игрушка для развития моторики ""Серпантинка""",42,1125.0,2,5.0
184,3066958,Творчество и рукоделие,Набор для шитья. Игрушка из фетра своими руками Милый динозаврик,41,299.0,39,4.0
185,2324714,Творчество и рукоделие,"Мягкая елочная игрушка из фетра: домик, елочка, колокольчик своими руками",41,329.0,2,5.0
186,2213187,Настольные и карточные игры,"Детская настольная игра для большой компании ""Мемы, общий сбор!""",41,459.0,22,5.0
187,903632,Творчество и рукоделие,Набор для вышивания крестиком с пяльцами. Детская вышивка Новогодняя Дед Мороз,41,299.0,29,0.0
188,901598,Книги и обучающие материалы,Внимание и логика. Развивающая игра Пиши-Стирай,41,445.5,30,5.0
189,414714,Деревянные игрушки и шнуровки,"Шнуровка Лапочка ""Три кота"" Алатойс",41,149.0,0,5.0
190,309589,Деревянные игрушки и шнуровки,"Шнуровка ""Свинка Пеппа"" развивающая деревянная игрушка",41,150.0,0,5.0
191,2331513,Мягкие игрушки и театр,"Кукла-перчатка на руку Домашний кукольный театр Доктор,  внучка Машенька",40,299.0,3,0.0
192,1010273,"Кубики, мозаика и пирамидки","Кубики ""Король Лев"" Герои Disney, Собери картинку. 6 штук",40,230.0,0,5.0
193,810916,"Животные, фигурки и наборы","Лото ""Фрукты-овощи"", ""Животные"", ""Транспорт"" от Алатойс",40,531.0,26,5.0
194,537588,Прочее,"Набор игровой ""Играем в воде"", Рыбки-колечки для ныряния, Вondibon",40,390.0,0,5.0
195,452340,Деревянные игрушки и шнуровки,Деревянная игрушка - Шнуровка Уточка,40,175.0,0,5.0
196,309577,Деревянные игрушки и шнуровки,"Шнуровка ""Джордж"" Свинка Пеппа развивающая деревянная игрушка",40,175.0,1,5.0
197,172659,Прочее,Совочек НОРДПЛАСТ 15см,40,20.0,0,0.0
198,13323,Деревянные игрушки и шнуровки,"Игрушка-шнуровка в контейнере, 45 шт",40,450.0,0,4.7
199,2984275,Прочее,"Блокнот IQ Лабиринты, Кроссворды, задания. Новогодний детский",39,75.0,31,0.0
200,234052,Настольные и карточные игры,Зубастый крокодил. Настольная игра со светом и звуком / Безумный крокодил Bondibon,39,1450.0,0,4.4
