"ID","Наименование","Штрихкод","SKU","ID товара","К отправке","В продаже","Возврат","Брак","Себест. (руб.)","Стоимость продажи (руб.)","Общий остаток","Общая сумма остатков (руб.)","Себест. (сумма) (руб.)","Стоимость продажи (сумма) (руб.)","Остаток на СДХ","Остаток на фотостудии","Остаток на СДХ (сумма) (руб.)","Доступно к отправке","Статус","Среднесуточные продажи (шт.)","Среднесуточные остатки, (шт.)","Оборачиваемость","Габариты товара: длина (мм)","Габариты товара: ширина (мм)","Габариты товара: высота (мм)","Платные остатки (шт.)","Объем платных остатков (л)","Стоимость хранения (руб. в день)","Seller SKU ID"
"8364217","Оригами для мальчиков девочек набор для творчества","6900104122674","WONDERS-ОРИГАМИ-ЗЕЛЕН","2975468","0","0","0","0","60,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","193","189","16","0","0,00","0,00","Зеленый"
"8364218","Оригами для мальчиков девочек набор для творчества","6900104122711","WONDERS-ОРИГАМИ-РОЗОВ","2975468","0","2","2","0","60,00","170,00","2","340,00","120,00","340,00","0","0","0,00","998","В продаже","0,050","3,383","67,667","193","192","13","0","0,00","0,00","Розовый"
"8364219","Оригами для мальчиков девочек набор для творчества","6900104122728","WONDERS-ОРИГАМИ-СИНИЙ","2975468","0","14","0","0","45,00","199,00","14","2786,00","630,00","2786,00","0","0","0,00","986","В продаже","0,033","14,900","447,000","195","187","18","0","0,00","0,00","Синий"
"8364590","Магнитная кукла с нарядами Алиса 'Одевашки'","6900097699078","WONDERS-ОДЕВАШК-ГОЛУБ","2406358","0","0","0","0","196,00","369,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","0,036","1,125","31,500","236","148","22","0","0,00","0,00",""
"8365155","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900100480792","WONDERS-КРУЖКА-АЛЫЙ","2976090","0","15","0","0","239,00","529,00","15","7935,00","3585,00","7935,00","0","0","0,00","985","В продаже","0,000","15,000","0,000","114","111","123","0","0,00","0,00",""
"8365156","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900106303552","WONDERS-КРУЖКА-АМЕТИС","2976090","0","13","0","0","167,00","499,00","13","6487,00","2171,00","6487,00","0","0","0,00","987","В продаже","0,000","13,000","0,000","125","115","126","0","0,00","0,00",""
"8365157","Кружка Новогодняя детская сублимация Холодное сердце Микки Маус Пони керамика 350 мл","6900073217463","WONDERS-КРУЖКА-КОНФЕТН","2976090","0","9","0","0","204,00","499,00","9","4491,00","1836,00","4491,00","0","0","0,00","991","В продаже","0,000","9,000","0,000","128","109","124","0","0,00","0,00",""
"8365535","Карнавальный набор Снежинка. Новогодний ободок пумпоны","6900069608688","WONDERS-КАРНАВА-БЕЛЫЙ","2974163","0","3","1","0","124,00","329,00","3","987,00","372,00","987,00","0","0","0,00","997","В продаже","0,000","3,000","0,000","269","194","35","0","0,00","0,00",""
"8365536","Карнавальный набор Снежинка. Новогодний ободок пумпоны","6900102299095","WONDERS-КАРНАВА-ГОЛУБ","2974163","0","8","1","0","75,00","329,00","8","2632,00","600,00","2632,00","0","0","0,00","992","В продаже","0,000","8,000","0,000","369","170","23","0","0,00","0,00",""
"8365537","Карнавальный набор Снежинка. Новогодний ободок пумпоны","6900051133556","WONDERS-КАРНАВА-СЕРЕБРН","2974163","0","0","1","0","152,00","390,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","263","193","30","0","0,00","0,00",""
"8366500","Кружка керамическая детская сувенирная 350 мл Супер-мен Человек-паук Marvel","1000083665003","WONDERS-КРУЖК-АЛЫЙ","2976834","0","2","1","0","218,00","499,00","2","998,00","436,00","998,00","0","0","0,00","998","В продаже","0,017","2,233","134,000","110","109","119","0","0,00","0,00","КРУЖК-Алый"
